department,county,city,base,total,year,AnnualBase,AnnualTotalPay,AnnualBonus,Headcount
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,ROSEBUD,COLSTRIP,32.15,32.15,4023,66872,66872,0,2
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,ROSEBUD,FORSYTH,186.42,194.4,22136,387753.6,404352,16598.400000000005,11
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,ROSEBUD,LAME DEER,877.72,884.84,106752,1825657.6,1840467.2,14809.599999999984,53
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,SANDERS,THOMPSON FALLS,402.84,416.86,48276,837907.2,867068.8,29161.600000000002,24
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,SANDERS,THOMPSON FLS,1127.6200000000001,1165.64,114842,2345449.6,2424531.2,79081.59999999993,57
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,SHERIDAN,PLENTYWOOD,287.19,306.85,30197,597355.2000000001,638248,40892.799999999996,15
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,SILVER BOW,BUTTE,25050.28,25681.06,2519658,52104582.4,53416604.8,1312022.4000000001,1251
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,STILLWATER,COLUMBUS,586.28,596.95,64460,1219462.4,1241656,22193.600000000035,32
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,SWEET GRASS,BIG TIMBER,281.14,296.56,30193,584771.2000000001,616844.8,32073.599999999988,15
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,TETON,CHOTEAU,380.47,396.43,44300,791377.6,824574.4,33196.80000000002,22
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,TOOLE,SHELBY,269.46000000000004,283.53000000000003,30207,560476.8,589742.4,29265.599999999977,15
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,VALLEY,GLASGOW,2013.99,2068.02,227606,4189099.2,4301481.6,112382.40000000004,113
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,VALLEY,HINSDALE,76.75999999999999,85.96000000000001,8050,159660.8,178796.8,19136.000000000007,4
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,YELLOWSTONE,BILLINGS,31513.55,32370.82,3349424,65548184,67331305.6,1783121.6,1663
DEPARTMENT OF PUBLIC HEALTH AND HUMAN SERVICES,YELLOWSTONE,SHEPHERD,95.98,100.34,8050,199638.4,208707.19999999998,9068.799999999988,4
DEPARTMENT OF PUBLIC SERVICE REGULATION,LEWIS AND CLARK,HELENA,8119.58,8343.83,559847,16888726.4,17355166.4,466439.99999999994,278
DEPARTMENT OF REVENUE,BEAVERHEAD,DILLON,581.73,601.32,64455,1209998.4,1250745.6,40747.20000000001,32
DEPARTMENT OF REVENUE,BIG HORN,HARDIN,569.27,584.44,60407,1184081.6,1215635.2,31553.6,30
DEPARTMENT OF REVENUE,BLAINE,CHINOOK,244.93,262.23,28196,509454.39999999997,545438.4,35984.00000000001,14
DEPARTMENT OF REVENUE,BROADWATER,TOWNSEND,211.85,218.92,24162,440648,455353.6,14705.599999999999,12
DEPARTMENT OF REVENUE,CARBON,RED LODGE,554.54,570.06,64459,1153443.2,1185724.8,32281.599999999977,32
DEPARTMENT OF REVENUE,CARTER,EKALAKA,198.48,206.42000000000002,20137,412838.4,429353.60000000003,16515.20000000002,10
DEPARTMENT OF REVENUE,CASCADE,GREAT FALLS,3068.58,3200.06,310165,6382646.4,6656124.8,273478.4,154
DEPARTMENT OF REVENUE,CHOTEAU,FORT BENTON,69.62,76.08,8046,144809.6,158246.40000000002,13436.80000000001,4
DEPARTMENT OF REVENUE,CHOUTEAU,FORT BENTON,189.91,196.24,22165,395012.8,408179.2,13166.399999999987,11
DEPARTMENT OF REVENUE,CUSTER,MILES CITY,593.72,622.1,60414,1234937.6,1293968,59030.4,30
DEPARTMENT OF REVENUE,DANIELS,SCOBEY,236.85999999999999,242.44,28200,492668.8,504275.19999999995,11606.399999999987,14
DEPARTMENT OF REVENUE,DAWSON,GLENDIVE,675.07,704.38,66457,1404145.6,1465110.4000000001,60964.80000000003,33
DEPARTMENT OF REVENUE,DEER LODGE,ANACONDA,394.37,404.77,50346,820289.6,841921.6,21631.99999999999,25
DEPARTMENT OF REVENUE,FALLON,BAKER,256.14,268.71999999999997,30207,532771.2,558937.6,26166.400000000005,15
DEPARTMENT OF REVENUE,FERGUS,LEWISTOWN,540.93,562.52,54368,1125134.4000000001,1170041.6,44907.19999999999,27
DEPARTMENT OF REVENUE,FLATHEAD,KALISPELL,3455.33,3540.36,364530,7187086.4,7363948.8,176862.39999999997,181
DEPARTMENT OF REVENUE,GALLATIN,BOZEMAN,4212.97,4280.91,451160,8762977.6,8904292.8,141315.20000000004,224
DEPARTMENT OF REVENUE,GARFIELD,JORDAN,140.14,145.1,14098,291491.2,301808,10316.800000000003,7
DEPARTMENT OF REVENUE,GLACIER,CUT BANK,293.89,297.61,34242,611291.2,619028.8,7737.600000000006,17
DEPARTMENT OF REVENUE,GOLDEN VALLEY,RYEGATE,128.47,138.05,14098,267217.6,287144,19926.399999999994,7
DEPARTMENT OF REVENUE,GRANITE,PHILIPSBURG,232.32,236,28192,483225.6,490880,7654.400000000016,14
DEPARTMENT OF REVENUE,HILL,HAVRE,394.43,426.42,44305,820414.4,886953.6,66539.20000000001,22
DEPARTMENT OF REVENUE,JEFFERSON,BOULDER,301.82,306.37,34240,627785.6,637249.6,9463.999999999985,17
DEPARTMENT OF REVENUE,JUDITH BASIN,STANFORD,340.38,361.48,34234,707990.4,751878.4,43888.00000000001,17
DEPARTMENT OF REVENUE,LAKE,POLSON,1033.5,1041.51,122857,2149680,2166340.8000000003,16660.800000000017,61
DEPARTMENT OF REVENUE,LEWIS AND CLARK,HELENA,66092.04,67958.72,5931105,137471443.2,141354137.6,3882694.3999999994,2945
DEPARTMENT OF REVENUE,LIBERTY,CHESTER,231.54999999999998,234.78,28196,481624,488342.4,6718.3999999999905,14
DEPARTMENT OF REVENUE,LINCOLN,LIBBY,954.81,989.59,100703,1986004.8,2058347.2,72342.4,50
DEPARTMENT OF REVENUE,MADISON,VIRGINIA CITY,931.73,949.15,100719,1937998.4,1974232,36233.6,50
DEPARTMENT OF REVENUE,MCCONE,CIRCLE,163.05,167.48000000000002,16109,339144,348358.4,9214.400000000001,8
DEPARTMENT OF REVENUE,MEAGHER,WHITE SULPHUR SPRINGS,51.400000000000006,51.400000000000006,6036,106912,106912,0,3
DEPARTMENT OF REVENUE,MEAGHER,WHT SPHR SPGS,31.64,31.64,4033,65811.2,65811.2,0,2
DEPARTMENT OF REVENUE,MINERAL,SAINT REGIS,140.76,146.09,14111,292780.8,303867.2,11086.399999999994,7
DEPARTMENT OF REVENUE,MINERAL,SUPERIOR,179.8,185.37,20125,373984,385569.6,11585.599999999999,10
DEPARTMENT OF REVENUE,MISSOULA,MISSOULA,3525.5,3635.68,360528,7333040,7562214.4,229174.39999999997,179
DEPARTMENT OF REVENUE,MUSSELSHELL,ROUNDUP,207.91,209.55,24169,432452.8,435864,3411.199999999997,12
DEPARTMENT OF REVENUE,PARK,LIVINGSTON,801.38,818.6899999999999,94654,1666870.4000000001,1702875.2,36004.799999999974,47
DEPARTMENT OF REVENUE,PETROLEUM,WINNETT,112.46,112.77,12087,233916.8,234561.6,644.8000000000029,6
DEPARTMENT OF REVENUE,PHILLIPS,MALTA,238.86,251.6,28196,496828.8,523328,26499.19999999999,14
DEPARTMENT OF REVENUE,PONDERA,CONRAD,256.5,271.58,30207,533520,564886.4,31366.40000000002,15
DEPARTMENT OF REVENUE,POWDER RIVER,BROADUS,280.93,298.98,30210,584334.4,621878.4,37544.000000000015,15
DEPARTMENT OF REVENUE,POWELL,DEER LODGE,245.99,246.53,32218,511659.2,512782.4,1123.199999999997,16
DEPARTMENT OF REVENUE,PRAIRIE,TERRY,139.32,146.24,14098,289785.6,304179.2,14393.600000000006,7
DEPARTMENT OF REVENUE,RAVALLI,HAMILTON,1919.6,1975.26,203410,3992768,4108540.8,115772.7999999999,101
DEPARTMENT OF REVENUE,RICHLAND,SIDNEY,579.38,606.5,66469,1205110.4,1261520,56409.6,33
DEPARTMENT OF REVENUE,ROOSEVELT,WOLF POINT,339.69,345.25,38271,706555.2000000001,718120,11564.799999999996,19
DEPARTMENT OF REVENUE,ROSEBUD,FORSYTH,259.78000000000003,270.26,28196,540342.4,562140.8,21798.399999999972,14
DEPARTMENT OF REVENUE,SANDERS,THOMPSON FALLS,109.58,114.53,12069,227926.4,238222.40000000002,10296.000000000022,6
DEPARTMENT OF REVENUE,SANDERS,THOMPSON FLS,315.56,323.15999999999997,36268,656364.8,672172.8,15808,18
DEPARTMENT OF REVENUE,SHERIDAN,PLENTYWOOD,469.79,498.31,48327,977163.2000000001,1036484.7999999999,59321.59999999995,24
DEPARTMENT OF REVENUE,SILVER BOW,BUTTE,962.37,994.92,102712,2001729.6,2069433.6,67704.00000000003,51
DEPARTMENT OF REVENUE,STILLWATER,COLUMBUS,358.63,367.37,44309,745950.4,764129.6,18179.2,22
DEPARTMENT OF REVENUE,SWEET GRASS,BIG TIMBER,193.64,210.31,20134,402771.2,437444.8,34673.59999999999,10
DEPARTMENT OF REVENUE,TETON,CHOTEAU,337.94,360.58,34232,702915.2,750006.4,47091.200000000026,17
DEPARTMENT OF REVENUE,TOOLE,SHELBY,401.07,421.06,42294,834225.6,875804.8,41579.20000000002,21
DEPARTMENT OF REVENUE,TREASURE,HYSHAM,103.28,105.73,14098,214822.4,219918.4,5096.000000000011,7
DEPARTMENT OF REVENUE,VALLEY,GLASGOW,658.03,702.33,70502,1368702.4,1460846.4,92144.00000000001,35
DEPARTMENT OF REVENUE,WHEATLAND,HARLOWTON,156.47,165.06,16109,325457.6,343324.8,17867.199999999997,8
DEPARTMENT OF REVENUE,WIBAUX,WIBAUX,123.31,123.88,14098,256484.8,257670.4,1185.5999999999985,7
DEPARTMENT OF REVENUE,YELLOWSTONE,BILLINGS,4720.87,4896.02,479344,9819409.6,10183721.6,364312,238
DEPARTMENT OF TRANSPORTATION,BEAVERHEAD,DILLON,771.36,797.91,72574,1604428.8,1659652.8,55223.99999999998,36
DEPARTMENT OF TRANSPORTATION,BEAVERHEAD,LIMA,767.1999999999999,792.66,72576,1595776,1648732.8,52956.79999999996,36
DEPARTMENT OF TRANSPORTATION,BEAVERHEAD,WISDOM,502.51,508.38,48381,1045220.8,1057430.4,12209.599999999977,24
DEPARTMENT OF TRANSPORTATION,BIG HORN,BUSBY,264,277.59,24192,549120,577387.2,28267.199999999975,12
DEPARTMENT OF TRANSPORTATION,BIG HORN,HARDIN,495.89,511.12,46367,1031451.2000000001,1063129.6,31678.399999999972,23
DEPARTMENT OF TRANSPORTATION,BIG HORN,LODGE GRASS,490.79,502.49,46367,1020843.2000000001,1045179.2,24335.999999999985,23
DEPARTMENT OF TRANSPORTATION,BLAINE,HARLEM,355.3,362.5,32258,739024,754e3,14975.999999999993,16
DEPARTMENT OF TRANSPORTATION,BROADWATER,TOWNSEND,421.15999999999997,431.84,40318,876012.8,898227.2,22214.39999999998,20
DEPARTMENT OF TRANSPORTATION,CARBON,BRIDGER,343.45,348.8,32254,714376,725504,11127.999999999978,16
DEPARTMENT OF TRANSPORTATION,CARBON,RED LODGE,446.61,451.23,42334,928948.8,938558.4,9609.599999999991,21
DEPARTMENT OF TRANSPORTATION,CARTER,BOYES,19.27,19.27,2015,40081.6,40081.6,0,1
DEPARTMENT OF TRANSPORTATION,CARTER,EKALAKA,39.46,39.46,4030,82076.8,82076.8,0,2
DEPARTMENT OF TRANSPORTATION,CASCADE,BELT,688.89,705.01,64510,1432891.2,1466420.8,33529.59999999999,32
DEPARTMENT OF TRANSPORTATION,CASCADE,CASCADE,265.81,271.51,26208,552884.8,564740.8,11855.999999999985,13
DEPARTMENT OF TRANSPORTATION,CASCADE,GREAT FALLS,25570.77,26519.84,2315322,53187201.6,55161267.2,1974065.6000000008,1150
DEPARTMENT OF TRANSPORTATION,CASCADE,MONARCH,204.69,214.96,18144,425755.2,447116.8,21361.59999999997,9
DEPARTMENT OF TRANSPORTATION,CASCADE,SUN RIVER,373.56,380.79,32255,777004.8,792043.2,15038.399999999987,16
DEPARTMENT OF TRANSPORTATION,CHOUTEAU,BIG SANDY,182.14,189.78,16128,378851.2,394742.4,15891.199999999975,8
DEPARTMENT OF TRANSPORTATION,CHOUTEAU,FORT BENTON,219.82999999999998,219.82999999999998,20160,457246.4,457246.4,0,10
DEPARTMENT OF TRANSPORTATION,CUSTER,ISMAY,139.36,139.36,12096,289868.8,289868.8,0,6
DEPARTMENT OF TRANSPORTATION,CUSTER,MILES CITY,11248.06,11643.69,1081253,23395964.8,24218875.2,822910.4000000004,537
DEPARTMENT OF TRANSPORTATION,DANIELS,SCOBEY,266.32,278.26,24192,553945.6,578780.8,24835.199999999968,12
DEPARTMENT OF TRANSPORTATION,DAWSON,GLENDIVE,16769.12,17393.44,1433783,34879769.6,36178355.2,1298585.6000000006,712
DEPARTMENT OF TRANSPORTATION,DEER LODGE,ANACONDA,1349,1401.36,108861,2805920,2914828.8,108908.80000000003,54
DEPARTMENT OF TRANSPORTATION,FALLON,BAKER,367.67,367.67,34274,764753.6,764753.6,0,17
DEPARTMENT OF TRANSPORTATION,FERGUS,DENTON,185.35999999999999,186.36,18145,385548.8,387628.8,2080.000000000029,9
DEPARTMENT OF TRANSPORTATION,FERGUS,GRASS RANGE,200.52,209.35999999999999,18144,417081.60000000003,435468.8,18387.199999999983,9
DEPARTMENT OF TRANSPORTATION,FERGUS,LEWISTOWN,7406.03,7712.4,692715,15404542.4,16041792,637249.6000000001,344
DEPARTMENT OF TRANSPORTATION,FERGUS,ROY,320.14,329.46,28225,665891.2000000001,685276.8,19385.599999999977,14
DEPARTMENT OF TRANSPORTATION,FLATHEAD,COLUMBIA FLS,443.77,448.12,42336,923041.6,932089.6,9047.99999999997,21
DEPARTMENT OF TRANSPORTATION,FLATHEAD,KALISPELL,16206.81,16753.39,1457994,33710164.8,34847051.2,1136886.4000000004,724
DEPARTMENT OF TRANSPORTATION,FLATHEAD,KILA,129.72,135.59,12096,269817.6,282027.2,12209.600000000013,6
DEPARTMENT OF TRANSPORTATION,FLATHEAD,NYACK,401.39,404.87,38302,834891.2,842129.6,7238.399999999994,19
DEPARTMENT OF TRANSPORTATION,FLATHEAD,WHITEFISH,667.34,671.41,64511,1388067.2,1396532.8,8465.599999999977,32
DEPARTMENT OF TRANSPORTATION,GALLATIN,BOZEMAN,14758.73,15148.72,1425739,30698158.4,31509337.6,811179.2000000003,708
DEPARTMENT OF TRANSPORTATION,GALLATIN,THREE FORKS,448.99,454.21999999999997,42336,933899.2,944777.6,10878.399999999987,21
DEPARTMENT OF TRANSPORTATION,GALLATIN,W YELLOWSTONE,485.6,492.84,46367,1010048,1025107.2,15059.19999999999,23
DEPARTMENT OF TRANSPORTATION,GALLATIN,WEST YELLOWSTONE,295.81,298.6,24196,615284.8,621088,5803.200000000004,12
DEPARTMENT OF TRANSPORTATION,GARFIELD,JORDAN,285.58,299.68,26207,594006.4,623334.4,29327.999999999956,13
DEPARTMENT OF TRANSPORTATION,GLACIER,BROWNING,574.92,588.74,54430,1195833.6,1224579.2,28745.59999999997,27
DEPARTMENT OF TRANSPORTATION,GLACIER,CUT BANK,440.99,463.43,38305,917259.2000000001,963934.4,46675.19999999995,19
DEPARTMENT OF TRANSPORTATION,GLACIER,E GLACIER PK,127.77,130.01,12090,265761.6,270420.8,4659.199999999997,6
DEPARTMENT OF TRANSPORTATION,GLACIER,SAINT MARY,103.59,103.59,10083,215467.2,215467.2,0,5
DEPARTMENT OF TRANSPORTATION,GOLDEN VALLEY,RYEGATE,140.29,143.34,12096,291803.2,298147.2,6343.999999999985,6
DEPARTMENT OF TRANSPORTATION,GRANITE,DRUMMOND,431.04,443.26,40319,896563.2000000001,921980.8,25417.59999999999,20
DEPARTMENT OF TRANSPORTATION,GRANITE,PHILIPSBURG,260.75,270.24,24192,542360,562099.2,19739.199999999968,12
DEPARTMENT OF TRANSPORTATION,HILL,HAVRE,8935.72,9186.35,861651,18586297.6,19107608,521310.40000000014,428
DEPARTMENT OF TRANSPORTATION,JEFFERSON,BOULDER,838.85,848.05,80637,1744808,1763944,19136.000000000015,40
DEPARTMENT OF TRANSPORTATION,JEFFERSON,WHITEHALL,1001.63,1024.09,90720,2083390.4,2130107.1999999997,46716.79999999999,45
DEPARTMENT OF TRANSPORTATION,JUDITH BASIN,STANFORD,282.91,286.91,26210,588452.8,596772.8,8319.999999999978,13
DEPARTMENT OF TRANSPORTATION,LAKE,POLSON,306.8,317.94,28225,638144,661315.2,23171.199999999983,14
DEPARTMENT OF TRANSPORTATION,LAKE,RAVALLI,240.44,246.31,22174,500115.2,512324.8,12209.59999999997,11
DEPARTMENT OF TRANSPORTATION,LAKE,ROLLINS,224.5,228.82,20161,466960,475945.6,8985.599999999984,10
DEPARTMENT OF TRANSPORTATION,LAKE,RONAN,362.41,366.19,34273,753812.8,761675.2,7862.399999999987,17
DEPARTMENT OF TRANSPORTATION,LEWIS AND CLARK,AUGUSTA,285.66,288.73,26209,594172.8,600558.4,6385.599999999969,13
DEPARTMENT OF TRANSPORTATION,LEWIS AND CLARK,HELENA,153962.5,160241.41,11121103,320242e3,333302132.8,13060132.800000003,5522
DEPARTMENT OF TRANSPORTATION,LEWIS AND CLARK,LINCOLN,263.08,264.19,24192,547206.4,549515.2,2308.7999999999884,12
DEPARTMENT OF TRANSPORTATION,LEWIS AND CLARK,WOLF CREEK,670.63,683.99,62495,1394910.4000000001,1422699.2,27788.79999999998,31
DEPARTMENT OF TRANSPORTATION,LIBERTY,CHESTER,263.53,271.59,24192,548142.4,564907.2,16764.79999999999,12
DEPARTMENT OF TRANSPORTATION,LINCOLN,EUREKA,304.5,309.97,28225,633360,644737.6,11377.599999999977,14
DEPARTMENT OF TRANSPORTATION,LINCOLN,LIBBY,902.4399999999999,918.65,84672,1877075.2,1910792,33716.79999999999,42
DEPARTMENT OF TRANSPORTATION,LINCOLN,TROY,319.46,328.01,30237,664476.8,682260.8,17783.999999999978,15
DEPARTMENT OF TRANSPORTATION,MADISON,ENNIS,469.12,473.88,44351,975769.6,985670.4,9900.799999999974,22
DEPARTMENT OF TRANSPORTATION,MADISON,HARRISON,320.56,327.18,30241,666764.8,680534.4,13769.599999999984,15
DEPARTMENT OF TRANSPORTATION,MADISON,TWIN BRIDGES,321.46,331.44,30240,668636.8,689395.2,20758.399999999965,15
DEPARTMENT OF TRANSPORTATION,MCCONE,BROCKWAY,141.21,150.12,12096,293716.80000000005,312249.6,18532.79999999998,6
DEPARTMENT OF TRANSPORTATION,MCCONE,CIRCLE,339.8,348.34,32255,706784,724547.2,17763.199999999975,16
DEPARTMENT OF TRANSPORTATION,MEAGHER,WHT SPHR SPGS,535.5,549.18,50401,1113840,1142294.4,28454.399999999972,25
DEPARTMENT OF TRANSPORTATION,MINERAL,ALBERTON,475.21,479.13,46362,988436.8,996590.4,8153.599999999984,23
DEPARTMENT OF TRANSPORTATION,MINERAL,HAUGAN,1268.93,1301.64,120954,2639374.4,2707411.2,68036.80000000002,60
DEPARTMENT OF TRANSPORTATION,MINERAL,SAINT REGIS,237.42,241.75,18144,493833.6,502840,9006.400000000052,9
DEPARTMENT OF TRANSPORTATION,MINERAL,SUPERIOR,343.96,352.68,32255,715436.8,733574.4,18137.59999999997,16
DEPARTMENT OF TRANSPORTATION,MISSOULA,CLINTON,460.2,467.46,44349,957216,972316.7999999999,15100.799999999974,22
DEPARTMENT OF TRANSPORTATION,MISSOULA,LOLO,807,830.55,76606,1678560,1727544,48983.99999999995,38
DEPARTMENT OF TRANSPORTATION,MISSOULA,MISSOULA,33711.94,34921.93,3034134,70120835.2,72637614.4,2516779.200000001,1507
DEPARTMENT OF TRANSPORTATION,MISSOULA,SEELEY LAKE,629.21,646.49,54433,1308756.8,1344699.2,35942.399999999994,27
DEPARTMENT OF TRANSPORTATION,MUSSELSHELL,MELSTONE,139.82999999999998,142.56,12096,290846.4,296524.8,5678.399999999987,6
DEPARTMENT OF TRANSPORTATION,MUSSELSHELL,ROUNDUP,364.19,368.2,34271,757515.2,765856,8340.799999999996,17
DEPARTMENT OF TRANSPORTATION,PARK,EMIGRANT,240.49,246.28,22175,500219.2,512262.4,12043.199999999983,11
DEPARTMENT OF TRANSPORTATION,PARK,LIVINGSTON,510.55,529.15,48383,1061944,1100632,38687.999999999985,24
DEPARTMENT OF TRANSPORTATION,PARK,WILSALL,262.62,276.13,24192,546249.6,574350.4,28100.79999999999,12
DEPARTMENT OF TRANSPORTATION,PETROLEUM,WINNETT,197.69,201.45,18143,411195.2,419016,7820.799999999988,9
DEPARTMENT OF TRANSPORTATION,PHILLIPS,MALTA,402.58,419.91,36286,837366.4,873412.8,36046.399999999965,18
DEPARTMENT OF TRANSPORTATION,PONDERA,CONRAD,3095.3199999999997,3266.55,231834,6438265.6,6794424,356158.4,115
DEPARTMENT OF TRANSPORTATION,PONDERA,DUPUYER,324.69,330.18,30240,675355.2000000001,686774.4,11419.199999999975,15
DEPARTMENT OF TRANSPORTATION,POWDER RIVER,BROADUS,518.72,525.3,48386,1078937.6,1092624,13686.400000000016,24
DEPARTMENT OF TRANSPORTATION,POWELL,DEER LODGE,618.65,634.0699999999999,58462,1286792,1318865.6,32073.59999999997,29
DEPARTMENT OF TRANSPORTATION,PRAIRIE,TERRY,265.39,277.7,24192,552011.2000000001,577616,25604.799999999974,12
DEPARTMENT OF TRANSPORTATION,RAVALLI,HAMILTON,493.65,506.28,46369,1026792,1053062.4,26270.399999999987,23
DEPARTMENT OF TRANSPORTATION,RAVALLI,SULA,380.26,382.48,36287,790940.8,795558.4,4617.5999999999985,18
DEPARTMENT OF TRANSPORTATION,RICHLAND,SIDNEY,407.67,416.35,38306,847953.6,866008,18054.39999999998,19
DEPARTMENT OF TRANSPORTATION,ROOSEVELT,CULBERTSON,531.03,543.91,48383,1104542.4000000001,1131332.8,26790.399999999987,24
DEPARTMENT OF TRANSPORTATION,ROOSEVELT,WOLF POINT,8612.45,8896.89,831546,17913896,18505531.2,591635.2000000004,413
DEPARTMENT OF TRANSPORTATION,ROSEBUD,ASHLAND,368.38,380.85,34271,766230.4,792168,25937.599999999977,17
DEPARTMENT OF TRANSPORTATION,ROSEBUD,COLSTRIP,266.16,266.16,24192,553612.8,553612.8,0,12
DEPARTMENT OF TRANSPORTATION,ROSEBUD,FORSYTH,392,402.46999999999997,36288,815360,837137.6,21777.599999999977,18
DEPARTMENT OF TRANSPORTATION,SANDERS,HOT SPRINGS,239.56,245.48,22175,498284.8,510598.39999999997,12313.599999999977,11
DEPARTMENT OF TRANSPORTATION,SANDERS,NOXON,260.29,260.29,24192,541403.2,541403.2,0,12
DEPARTMENT OF TRANSPORTATION,SANDERS,PLAINS,345.19,353.76,32255,717995.2,735820.8,17825.599999999984,16
DEPARTMENT OF TRANSPORTATION,SANDERS,THOMPSON FLS,339.3,341.19,32254,705744,709675.2,3931.1999999999825,16
DEPARTMENT OF TRANSPORTATION,SHERIDAN,PLENTYWOOD,350.09,363.98,32255,728187.2000000001,757078.4,28891.199999999975,16
DEPARTMENT OF TRANSPORTATION,SILVER BOW,BUTTE,34322.06,35553.45,3178999,71389884.8,73951176,2561291.2000000007,1579
DEPARTMENT OF TRANSPORTATION,SILVER BOW,DIVIDE,561.86,567.99,54430,1168668.8,1181419.2,12750.399999999972,27
DEPARTMENT OF TRANSPORTATION,STILLWATER,COLUMBUS,415.43,427.49,38303,864094.4,889179.2,25084.799999999967,19
DEPARTMENT OF TRANSPORTATION,SWEET GRASS,BIG TIMBER,524.92,539.82,48383,1091833.6,1122825.6,30991.999999999993,24
DEPARTMENT OF TRANSPORTATION,TETON,CHOTEAU,266.32,274.73,24192,553945.6,571438.4,17492.79999999999,12
DEPARTMENT OF TRANSPORTATION,TETON,DUTTON,396.17,414.64,36288,824033.6000000001,862451.2,38417.59999999997,18
DEPARTMENT OF TRANSPORTATION,TOOLE,SHELBY,1297,1341.52,114912,2697760,2790361.6,92601.60000000003,57
DEPARTMENT OF TRANSPORTATION,TOOLE,SWEET GRASS,118.62,119.99,12096,246729.59999999998,249579.2,2849.600000000006,6
DEPARTMENT OF TRANSPORTATION,TREASURE,HYSHAM,59.81,59.81,6049,124404.79999999999,124404.79999999999,0,3
DEPARTMENT OF TRANSPORTATION,VALLEY,GLASGOW,801.33,821.38,72576,1666766.4,1708470.4,41704,36
DEPARTMENT OF TRANSPORTATION,VALLEY,OPHEIM,158.62,161.35,14111,329929.60000000003,335608,5678.399999999987,7
DEPARTMENT OF TRANSPORTATION,WHEATLAND,HARLOWTON,262.14,262.86,24192,545251.2000000001,546748.8,1497.5999999999913,12
DEPARTMENT OF TRANSPORTATION,WIBAUX,WIBAUX,421.96999999999997,430.72,38303,877697.6,895897.6,18199.999999999993,19
DEPARTMENT OF TRANSPORTATION,YELLOWSTONE,BILLINGS,33049,34136.14,3022544,68741920,71003171.2,2261251.200000001,1501
DEPARTMENT OF TRANSPORTATION,YELLOWSTONE,CUSTER,468.46,489.39,42337,974396.8,1017931.2,43534.39999999998,21
DEPARTMENT OF TRANSPORTATION,NA,EAST GLACIER PARK,224.51,228.27,20165,466980.8,474801.6,7820.80000000001,10
DEPARTMENT OF TRANSPORTATION,NA,FERNDALE,650.7,661.29,62492,1353456,1375483.2,22027.19999999999,31
DEPARTMENT OF TRANSPORTATION,NA,GALLATIN GATEWAY,567.54,578.86,54431,1180483.2,1204028.8,23545.599999999984,27
JUDICIAL BRANCH,BEAVERHEAD,DILLON,147.94,152.29999999999998,16129,307715.2,316784,9068.799999999988,8
JUDICIAL BRANCH,CASCADE,GREAT FALLS,5120.61,5228.35,457214,10650868.8,10874968,224099.19999999992,227
JUDICIAL BRANCH,CUSTER,MILES CITY,1764.93,1796.96,155081,3671054.4,3737676.8,66622.39999999997,77
JUDICIAL BRANCH,DAWSON,GLENDIVE,390.76,396.59000000000003,40320,812780.8,824907.2000000001,12126.400000000005,20
JUDICIAL BRANCH,FERGUS,LEWISTOWN,1001.6,1014.36,92649,2083328,2109868.8000000003,26540.800000000054,46
JUDICIAL BRANCH,FLATHEAD,KALISPELL,4710.4,4813.96,408886,9797632,10013036.8,215404.7999999998,203
JUDICIAL BRANCH,GALLATIN,BOZEMAN,8315.98,8472.75,666674,17297238.4,17623320,326081.60000000015,331
JUDICIAL BRANCH,GLACIER,CUT BANK,190.76,196.41,20161,396780.8,408532.8,11752.000000000011,10
JUDICIAL BRANCH,HILL,HAVRE,1088.47,1100.04,106746,2264017.6,2288083.2,24065.60000000002,53
JUDICIAL BRANCH,JEFFERSON,BOULDER,72.88,77.38,6048,151590.40000000002,160950.4,9359.999999999985,3
JUDICIAL BRANCH,LAKE,POLSON,2033.31,2068.07,187308,4229284.8,4301585.6,72300.79999999999,93
JUDICIAL BRANCH,LEWIS AND CLARK,HELENA,36075.63,36505.89,2311936,75037310.4,75932251.2,894940.7999999998,1148
JUDICIAL BRANCH,LINCOLN,LIBBY,1257.69,1302.94,110770,2615995.2,2710115.2,94119.99999999996,55
JUDICIAL BRANCH,MADISON,VIRGINIA CITY,777.9,790.78,66448,1618032,1644822.4,26790.400000000027,33
JUDICIAL BRANCH,MISSOULA,MISSOULA,6219.78,6363.01,511612,12937142.4,13235060.8,297918.39999999985,254
JUDICIAL BRANCH,MUSSELSHELL,ROUNDUP,767.45,794.24,62440,1596296,1652019.2,55723.20000000001,31
JUDICIAL BRANCH,PARK,LIVINGSTON,914.14,935.86,78554,1901411.2,1946588.8,45177.59999999995,39
